destinasi,Segmen,Tema_Nama,Jumlah_Akomodasi,Rata_rata_Ulasan
Borobudur,Budget (Homestay/Hotel Standar),Mengandung Unsur Alam,23,192
Borobudur,Budget (Homestay/Hotel Standar),Nama Standar,455,169
Bromo Tengger Semeru,Budget (Homestay/Hotel Standar),Mengandung Unsur Alam,37,305
Bromo Tengger Semeru,Budget (Homestay/Hotel Standar),Nama Standar,471,146
Danau Toba,Budget (Homestay/Hotel Standar),Mengandung Unsur Alam,35,59
Danau Toba,Budget (Homestay/Hotel Standar),Nama Standar,141,117
Labuan Bajo,Budget (Homestay/Hotel Standar),Mengandung Unsur Alam,44,178
Labuan Bajo,Budget (Homestay/Hotel Standar),Nama Standar,430,65
Labuan Bajo,Premium (Resort/Villa),Mengandung Unsur Alam,10,576
Labuan Bajo,Premium (Resort/Villa),Nama Standar,26,341
Likupang,Budget (Homestay/Hotel Standar),Mengandung Unsur Alam,2,6
Likupang,Budget (Homestay/Hotel Standar),Nama Standar,156,69
Likupang,Premium (Resort/Villa),Nama Standar,13,80
Mandalika,Budget (Homestay/Hotel Standar),Mengandung Unsur Alam,72,53
Mandalika,Budget (Homestay/Hotel Standar),Nama Standar,593,66
Mandalika,Premium (Resort/Villa),Mengandung Unsur Alam,27,129
Mandalika,Premium (Resort/Villa),Nama Standar,97,100
Morotai,Budget (Homestay/Hotel Standar),Mengandung Unsur Alam,9,37
Morotai,Budget (Homestay/Hotel Standar),Nama Standar,44,20
Raja Ampat,Budget (Homestay/Hotel Standar),Mengandung Unsur Alam,17,71
Raja Ampat,Budget (Homestay/Hotel Standar),Nama Standar,101,48
Tanjung Kelayang,Budget (Homestay/Hotel Standar),Mengandung Unsur Alam,25,179
Tanjung Kelayang,Budget (Homestay/Hotel Standar),Nama Standar,193,120
Tanjung Kelayang,Premium (Resort/Villa),Mengandung Unsur Alam,5,168
Tanjung Kelayang,Premium (Resort/Villa),Nama Standar,11,110
Wakatobi,Budget (Homestay/Hotel Standar),Mengandung Unsur Alam,8,56
Wakatobi,Budget (Homestay/Hotel Standar),Nama Standar,37,19
