destinasi,nama_hotel,jenis,alamat,kota,provinsi,latitude,longitude,harga,rating,jumlah_ulasan,jumlah_foto,kasta_bintang,foto_url,website,maps_url,google_maps_link,fasilitas_sarapan,jarak_ke_pusat_km,saingan_radius_1km,total_demand_area,is_nature_view,is_premium,indeks_investasi,skor_popularitas,foto_per_ulasan,log_ulasan,indeks_investasi_clipped,indeks_investasi_clipped_scaled,saingan_radius_1km_scaled,total_demand_area_scaled,skor_popularitas_scaled,jarak_ke_atraksi_terdekat_km,nama_atraksi_terdekat,jumlah_atraksi_radius_5km,klaster_dbscan,status_ocean,koef_jarak_ke_pusat_km,koef_saingan_radius_1km,koef_foto_per_ulasan,koef_jarak_ke_atraksi_terdekat_km,koef_jumlah_atraksi_radius_5km,r2_lokal,model_dipakai,competition_score,accessibility_score,demand_score,quality_score,jarak_atraksi_score,kepadatan_atraksi_score,ecosystem_score,opportunity_score,rekomendasi_investasi,cluster_label,market_segment
Labuan Bajo,AYANA Komodo Waecicu Beach,Hotel,"Jalan Pantai Waecicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.46766403285847,119.87440992930296,157.0,4.7,3921.0,14918,5-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHW_Kfw8H8dcc71ka0jvGylrrYaua6QXdDo_-lgR6iAEmqbtuUopO_vkd0CMbq1xTCc0s4ik3MSDrCED_p4v1m9uLxxhPuT2VujGqc0UIDzupvdPUF-qToK6XdBdNaRdcGrmgP0MA=w408-h272-k-no,https://www.ayana.com/labuan-bajo/komodo/,https://www.google.com/maps/search/?api=1&query=AYANA%20Komodo%20Waecicu%20Beach&query_place_id=ChIJPdDEpmFntC0RLNLv01YS_z4,https://www.google.com/maps/search/?api=1&query=AYANA%20Komodo%20Waecicu%20Beach&query_place_id=ChIJPdDEpmFntC0RLNLv01YS_z4,0,2.9836192842447096,10,3051.0,1,1,277.3636363636364,38.88947793175457,3.8036715961244254,8.274357006756292,273.9333333333331,1.0,0.0578034682080924,0.1310904872389791,0.8907622836004062,0.0506173689967033,Honzen Komodo,132,0,Red Ocean (Padat/Jenuh),-0.1536655147949119,-0.7858839276952267,-0.624025939816713,-1.259282868163081,0.5697009050391789,0.2723132265526441,GWR (Lokal),5.780346820809249,91.471191329595,99.99999987914468,97.0,99.86220424769444,88.0,93.9311021238472,85.89553417265012,Sangat Direkomendasikan,2,Tourism Hub / Market Leader
Labuan Bajo,Theodor Hotel Labuan Bajo,Hotel,"Labuan Bajo, Jl Verhouven, Bukit Kelumpang, Batu Cermin, Kec. Komodo, Bajoo, Nusa Tenggara Tim., Indonesia",Bajoo,East Nusa Tenggara,-8.466875282643011,119.89811882813538,45.0,4.7,598.0,337,3-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfzO7imSXAwPUUWqUd-f5Raw1SfuTJQOa5oZHJwivPB3Hom-cSWkWfV3-8CqMnvDeUJzBgaD-wEFjsCb7navUMm9Z1Z7NVaP6crCIUHdaRfUOtaGMu8DyfdM_BqQK12VcdpvQf=w408-h326-k-no,,https://www.google.com/maps/search/?api=1&query=Theodor%20Hotel%20Labuan%20Bajo&query_place_id=ChIJdfQkl09ltC0RUAuaTZqVH3E,https://www.google.com/maps/search/?api=1&query=Theodor%20Hotel%20Labuan%20Bajo&query_place_id=ChIJdfQkl09ltC0RUAuaTZqVH3E,0,4.009539734467402,9,83.0,0,0,8.3,30.05772951114261,0.5626043405676127,6.395261598115449,8.3,0.0302993429058165,0.0520231213872832,0.0035662112228237,0.6884713604583157,0.4604783394752333,Mawatu at Labuan Bajo,138,0,Red Ocean (Padat/Jenuh),-0.7627686643275018,-0.568633439937305,-0.599890739283228,-0.1644472807804096,-0.2829273163643445,0.2441511730339378,GWR (Lokal),5.202312138728324,88.53855200888484,77.29013366433777,47.0,98.74643900965026,92.0,95.37321950482512,76.71549850508679,Sangat Direkomendasikan,2,Tourism Hub / Market Leader
Labuan Bajo,Loccal Collection Hotel,Hotel,"Labuan Bajo, Komodo, West Manggarai Regency, East Nusa Tenggara, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.484187323114618,119.87986564154248,61.0,4.2,1984.0,7996,4-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6XXKAwY_KH2TChWP2YybJNNeNbAlVfXoGmXZOl5tDFFTbkXbNI64fgJmWud1DoLG0XxZnq6avNmkJyhTDYqvdIElF15hFEsaMpc0IKSYyc1Y4NEepG1BxhD2kAA31ZAHvUGOU=w426-h240-k-no,http://loccalcollection.com/,https://www.google.com/maps/search/?api=1&query=Loccal%20Collection%20Hotel&query_place_id=ChIJ0xK7WapntC0R58zqhA68PrQ,https://www.google.com/maps/search/?api=1&query=Loccal%20Collection%20Hotel&query_place_id=ChIJ0xK7WapntC0R58zqhA68PrQ,0,1.2791712175806893,82,13818.0,0,0,166.48192771084337,31.892171611109426,4.028211586901763,7.59337419312129,166.48192771084337,0.6077461464255665,0.4739884393063583,0.5937097189997421,0.7304891997557906,0.1150828205124941,Paradise BAR,147,0,Red Ocean (Padat/Jenuh),-0.6030257426150474,-0.7323689839324872,-1.0748308315907265,-0.7988718809519575,0.125494254283318,0.2425938542132509,GWR (Lokal),47.39884393063584,96.34343207625552,91.76996082890848,42.00000000000001,99.68670983608418,98.0,98.8433549180421,80.88979282916353,Sangat Direkomendasikan,1,Strategic Hotspot (High Density)
Labuan Bajo,Meruorah Komodo Labuan Bajo,Hotel,"Kawasan Marina, Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86711, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.490267869701436,119.87556639998982,94.0,4.5,1718.0,6125,5-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbFqWz8LXUNKMkTO2L70fkA5NpWYDHZFA3Nsgr2brbLMCoKec06zxb2x2vTpMAss1CJSMBB88AL6yaPOijuElGDtC8nnm1yQ3DFdgU1P-d5T4xsjr7qWiJmgbfCzFLlEbtIiY=w408-h272-k-no,https://meruorahlabuanbajo.com/,https://www.google.com/maps/search/?api=1&query=Meruorah%20Komodo%20Labuan%20Bajo&query_place_id=ChIJYU1_HrdntC0ReuPDG-2y2D0,https://www.google.com/maps/search/?api=1&query=Meruorah%20Komodo%20Labuan%20Bajo&query_place_id=ChIJYU1_HrdntC0ReuPDG-2y2D0,0,0.4784132311437969,104,16426.0,0,0,156.43809523809523,33.52274102422282,3.5631180919139034,7.449498005382849,156.43809523809523,0.5710809025484134,0.6011560693641618,0.7057660909169029,0.7678373414958958,0.1140832395169382,Starbucks Labuan Bajo,149,0,Red Ocean (Padat/Jenuh),-0.1649322472209038,-0.8832331299150943,-1.0787405850455345,-1.0030096566242588,2.029015914389652,0.2385474384202993,GWR (Lokal),60.115606936416185,98.63243446127257,90.03114067107532,45.0,99.68943099717973,99.33333333333334,99.51138216525652,79.58079711661999,Sangat Direkomendasikan,1,Strategic Hotspot (High Density)
Labuan Bajo,Sunset Hill Hotel,Hotel,"Jl. Dusun Bandara, RT./RW/RW.019/005, Lingkungan V, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim., Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.481169241533747,119.8836347341151,32.0,4.0,522.0,1257,2-star hotel,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/da/fd/34/restaurant.jpg?w=2100&h=1400&s=1,http://www.hotelsunsethill.com/,https://www.google.com/maps/search/?api=1&query=Sunset%20Hill%20Hotel&query_place_id=ChIJRZvYM9hltC0RWT9nwVFFxcM,https://www.google.com/maps/search/?api=1&query=Sunset%20Hill%20Hotel&query_place_id=ChIJRZvYM9hltC0RWT9nwVFFxcM,0,1.778673259512372,42,7218.0,1,0,167.86046511627907,25.038325856259693,2.4034416826003824,6.259581464064923,167.86046511627907,0.6127785292636135,0.2427745664739884,0.3101314771848414,0.5735020757129184,0.2914975626640157,Paradise Garage,146,0,Red Ocean (Padat/Jenuh),-1.0192599655177148,-0.6254269408941042,-0.9268706486971576,-0.6491944017444686,-0.9391385575910804,0.2562625109315504,GWR (Lokal),24.277456647398843,94.91558323219952,75.65036716917975,60.0,99.2064556744318,97.33333333333334,98.26989450388255,76.29648620053669,Sangat Direkomendasikan,1,Strategic Hotspot (High Density)
Labuan Bajo,"TA’AKTANA, a Luxury Collection Resort & Spa, Labuan Bajo",Hotel,"Pantai Wae Rana, Labuan Bajo, Komodo, West Manggarai Regency, East Nusa Tenggara 86763, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.47445574136957,119.8819830897079,476.0,4.7,272.0,1241,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGcPgWGL1gElKOloeFwXP9uuuMQOzcDSvTSFTgt8v0TLTXh2DHU7FdtfdoIeI0XoaedJAfLAFLvTeNOI_UsLFh_ULS20VGE_ndL5PhN60n-TeDTCFsW1DpjrhQII8I0Hxl7yDDnEw5nfLg=w408-h272-k-no,https://www.marriott.com/en-us/hotels/lbjlc-taaktana-a-luxury-collection-resort-and-spa-labuan-bajo/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,https://www.google.com/maps/search/?api=1&query=TA%E2%80%99AKTANA%2C%20a%20Luxury%20Collection%20Resort%20%26%20Spa%2C%20Labuan%20Bajo&query_place_id=ChIJfXWpPXZmtC0RvcgtAu7PcM8,https://www.google.com/maps/search/?api=1&query=TA%E2%80%99AKTANA%2C%20a%20Luxury%20Collection%20Resort%20%26%20Spa%2C%20Labuan%20Bajo&query_place_id=ChIJfXWpPXZmtC0RvcgtAu7PcM8,0,2.36816830998586,11,1554.0,0,0,129.5,26.36451743736931,4.545787545787546,5.60947179518496,129.5,0.472742759795571,0.0635838150289017,0.0667697860273266,0.6038784526690166,0.2769900760286031,Nera Lounge,143,0,Red Ocean (Padat/Jenuh),-1.1212634403140724,-0.5090165316174098,-0.7499132142322041,-0.6560336252434027,-1.348188079225078,0.2371329797224646,GWR (Lokal),6.358381502890173,93.23048536324944,67.79344647354823,47.0,99.2459494307177,95.33333333333334,97.28964138202552,74.31452992638782,Sangat Direkomendasikan,2,Tourism Hub / Market Leader
Labuan Bajo,Sylvia Resort Komodo,Hotel,"Jl. Pantai Waicicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.462119807871845,119.87242068898136,31.0,4.2,1938.0,6247,3-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMktZEIjSdtkDsBi19gCRiQJ8EeZLowNMJbf9x0YaL06RMwr6CVvnxqeesGW_eVEgOr30WLuKS-I_U7Jr_cnkzfvmxHBzsQ0PCVqgU2K9DdNIg9lcpf8FVn8s7WMJyhLf5Yn5W=w408-h271-k-no,,https://www.google.com/maps/search/?api=1&query=Sylvia%20Resort%20Komodo&query_place_id=ChIJC5U2mQ9mtC0RPO1axidLJ9k,https://www.google.com/maps/search/?api=1&query=Sylvia%20Resort%20Komodo&query_place_id=ChIJC5U2mQ9mtC0RPO1axidLJ9k,0,3.607328766576178,26,6087.0,0,1,225.44444444444449,31.79369615201914,3.221763795771016,7.569927655242652,225.44444444444449,0.8229901841486176,0.1502890173410404,0.2615364784738334,0.7282336224252903,0.2063984126301137,Pantai Waecicu,121,0,Red Ocean (Padat/Jenuh),-0.3913969960746685,-0.9253927431858084,-0.4834988858275257,-1.2567038122416936,0.4930438943315741,0.2999839507113652,GWR (Lokal),15.028901734104046,89.68828998262603,91.48659696352104,72.0,99.43812123966988,80.66666666666667,90.05239395316826,80.0451247944737,Sangat Direkomendasikan,2,Tourism Hub / Market Leader
Labuan Bajo,Mohini Resort,Hotel,"Jl. Pantai Wae cicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.45761732565271,119.87419603587936,53.0,4.4,443.0,1358,3-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEozIF2gKYNeuFq_zcOJPIuqRQl7vyD4Adts-tg4B3jXeP51n_BZZHBl81JbO1WsioCs2LU7PaqW1z0d6fwUDg4o5cZEaaa8ehz0F6Qts-h8vXO2KqnuUkTQCL9tzbB0PywztBbPx5x6aJM=w408-h544-k-no,https://wa.me/6282339283208,https://www.google.com/maps/search/?api=1&query=Mohini%20Resort&query_place_id=ChIJg0-4qhBntC0RSZBCOlGrrbI,https://www.google.com/maps/search/?api=1&query=Mohini%20Resort&query_place_id=ChIJg0-4qhBntC0RSZBCOlGrrbI,0,4.100689653420411,24,3661.0,0,0,146.44,26.821628074701792,3.058558558558558,6.095824562432225,146.44,0.5345826235093701,0.1387283236994219,0.1572999914067199,0.6143485576131574,0.4289579303379683,Atlantis On The Rock,114,0,Red Ocean (Padat/Jenuh),-0.5993754456641751,-1.0332738611736596,-0.4800252705990733,-1.2901441059625918,0.3992528891788969,0.3092521183499037,GWR (Lokal),13.872832369942197,88.27799590402982,73.67127802302524,44.00000000000001,98.83224707467102,76.0,87.41612353733551,71.9616642142225,Sangat Direkomendasikan,2,Tourism Hub / Market Leader
Labuan Bajo,Katamaran Hotel & Resort Komodo,Hotel,"Pantai Waecicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86763, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.47158069474386,119.87664802020775,150.0,4.7,449.0,1814,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIScuc4WO08KW_ZxTVkHsj8Rocwb3UJLTCb27ibuz4YFx-o3zVp2y0TbJev8as7FvNrnbl2BzhGIxCZRnIxyjiaKzS_djc6OaWOczBDHkYkO4aNwonPUnFNZvbGP9o9p-vnz5ODFNS75_W=w408-h408-k-no,https://katamaranresort.com/komodo,https://www.google.com/maps/search/?api=1&query=Katamaran%20Hotel%20%26%20Resort%20Komodo&query_place_id=ChIJpwGQTTZntC0Re3meo_sIbiA,https://www.google.com/maps/search/?api=1&query=Katamaran%20Hotel%20%26%20Resort%20Komodo&query_place_id=ChIJpwGQTTZntC0Re3meo_sIbiA,0,2.558188073175613,10,4734.0,0,0,430.3636363636364,28.71346363899252,4.031111111111112,6.1092475827643655,273.9333333333331,1.0,0.0578034682080924,0.2034029389017788,0.6576809924275643,0.503264222554906,Honzen Komodo,143,0,Red Ocean (Padat/Jenuh),0.035943594770556,-0.6529582091426837,-0.7722953800180408,-1.2777774194166305,0.5660430576438398,0.2341272115388004,GWR (Lokal),5.780346820809249,92.68730540312548,73.83350235423258,47.0,98.62996292517803,95.33333333333334,96.98164812925567,76.5873217790139,Sangat Direkomendasikan,2,Tourism Hub / Market Leader
Labuan Bajo,Mama Komodo Bed & Breakfast,Hotel,"Jl. Jati Putih. Batu Cermin, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim., Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.476633774399563,119.90333529712296,16.0,4.3,60.0,118,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG23FTSOO3QtY3AuNhrsFODJpv0D_eUg1nQ-67SpLZfp889nyJpyYrt0JHvLPiJQcWwgR3L3t0qq7s1VYAIyHxjusbav25wEXJPI6tKXCf1Pnd9OL75sTFjXq-WQ2qzyaDxG25ePA=w408-h272-k-no,https://sentosagroup.id/en/mama-komodo,https://www.google.com/maps/search/?api=1&query=Mama%20Komodo%20Bed%20%26%20Breakfast&query_place_id=ChIJOWbDR5VltC0Rs_8uDrI3FTw,https://www.google.com/maps/search/?api=1&query=Mama%20Komodo%20Bed%20%26%20Breakfast&query_place_id=ChIJOWbDR5VltC0Rs_8uDrI3FTw,0,3.722470951928377,34,207.0,0,0,5.914285714285715,17.676757615945238,1.9344262295081969,4.110873864173311,5.914285714285715,0.0215902374578451,0.1965317919075144,0.0088940448569218,0.4048855839171162,0.2063901548898821,Komodo Island Tours,141,0,Red Ocean (Padat/Jenuh),-0.0988883542239963,-0.1809699897701135,-0.607108140489879,0.0902466280570157,0.3166337210562959,0.2153162167931101,GWR (Lokal),19.653179190751445,89.35915091520316,49.68209440139499,43.0,99.43814371973058,94.0,96.7190718598653,64.79507158248308,Direkomendasikan,1,Strategic Hotspot (High Density)
