destinasi,nama_hotel,jenis,alamat,kota,provinsi,latitude,longitude,harga,rating,jumlah_ulasan,jumlah_foto,kasta_bintang,foto_url,website,maps_url,google_maps_link,fasilitas_sarapan,jarak_ke_pusat_km,saingan_radius_1km,total_demand_area,is_nature_view,is_premium,log_ulasan,rating_norm,log_ulasan_x_rating,indeks_investasi,skor_popularitas,foto_per_ulasan,indeks_investasi_clipped,jarak_ke_atraksi_terdekat_km,nama_atraksi_terdekat,jumlah_atraksi_radius_5km,klaster_dbscan,status_ocean,is_red_ocean,koef_saingan_radius_1km,tval_saingan_radius_1km,signif_saingan_radius_1km,koef_jarak_ke_atraksi_terdekat_km,tval_jarak_ke_atraksi_terdekat_km,signif_jarak_ke_atraksi_terdekat_km,koef_jumlah_atraksi_radius_5km,tval_jumlah_atraksi_radius_5km,signif_jumlah_atraksi_radius_5km,koef_is_premium,tval_is_premium,signif_is_premium,koef_is_red_ocean,tval_is_red_ocean,signif_is_red_ocean,koef_total_demand_area,tval_total_demand_area,signif_total_demand_area,r2_lokal,model_dipakai,bw_gwr,moran_I_resid,moran_p_resid,f_stat_ols,f_pvalue_ols,autokorelasi_belum_teratasi,competition_score,accessibility_score,demand_score,quality_score,jarak_atraksi_score,kepadatan_atraksi_score,ecosystem_score,opportunity_score,opportunity_score_percentile_nasional,reliabilitas_model,rekomendasi_investasi,cluster_label,market_segment,Segmen,Tema_Nama
Labuan Bajo,AYANA Komodo Waecicu Beach,Hotel,"Jalan Pantai Waecicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.46766403285847,119.87440992930296,157.0,4.7,3921.0,14918,5-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHW_Kfw8H8dcc71ka0jvGylrrYaua6QXdDo_-lgR6iAEmqbtuUopO_vkd0CMbq1xTCc0s4ik3MSDrCED_p4v1m9uLxxhPuT2VujGqc0UIDzupvdPUF-qToK6XdBdNaRdcGrmgP0MA=w408-h272-k-no,https://www.ayana.com/labuan-bajo/komodo/,https://www.google.com/maps/search/?api=1&query=AYANA%20Komodo%20Waecicu%20Beach&query_place_id=ChIJPdDEpmFntC0RLNLv01YS_z4,https://www.google.com/maps/search/?api=1&query=AYANA%20Komodo%20Waecicu%20Beach&query_place_id=ChIJPdDEpmFntC0RLNLv01YS_z4,0,2.9836192842447096,10,3051.0,1,1,8.274357006756292,0.94,7.311221851169861,277.3636363636364,38.88947793175457,3.8036715961244254,273.9333333333331,0.0506173689967033,Honzen Komodo,117,0,Red Ocean (Padat/Jenuh),1,-0.2002304791933951,-1.6820267153658848,False,-0.2881321948309035,-3.356451793382247,True,0.1233921594619506,1.3613829732403548,False,0.1850889780575359,2.5091124836933383,True,0.0173148366913244,0.234176510979246,False,0.2956916121620589,2.9865799225369387,True,0.089429392708171,OLS (Global),,0.0113658585693083,0.296,8.233479126895327,1.6237979050090368e-08,False,5.780346820475124,47.9865273007386,99.99999986322396,97.0,97.65932680152608,81.24999999153646,89.45466339653126,75.85566974234916,99.57819597663855,Cukup (OLS signifikan),Sangat Direkomendasikan,1,Akses Sulit & Kompetisi Rendah (Blue Ocean),Premium (Resort/Villa),Mengandung Unsur Alam
Labuan Bajo,Theodor Hotel Labuan Bajo,Hotel,"Labuan Bajo, Jl Verhouven, Bukit Kelumpang, Batu Cermin, Kec. Komodo, Bajoo, Nusa Tenggara Tim., Indonesia",Bajoo,East Nusa Tenggara,-8.466875282643011,119.89811882813538,45.0,4.7,598.0,337,3-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfzO7imSXAwPUUWqUd-f5Raw1SfuTJQOa5oZHJwivPB3Hom-cSWkWfV3-8CqMnvDeUJzBgaD-wEFjsCb7navUMm9Z1Z7NVaP6crCIUHdaRfUOtaGMu8DyfdM_BqQK12VcdpvQf=w408-h326-k-no,,https://www.google.com/maps/search/?api=1&query=Theodor%20Hotel%20Labuan%20Bajo&query_place_id=ChIJdfQkl09ltC0RUAuaTZqVH3E,https://www.google.com/maps/search/?api=1&query=Theodor%20Hotel%20Labuan%20Bajo&query_place_id=ChIJdfQkl09ltC0RUAuaTZqVH3E,0,4.009539734467402,9,83.0,0,0,6.395261598115449,0.94,5.650853148094812,8.3,30.05772951114261,0.5626043405676127,8.3,0.4604783394752333,Mawatu at Labuan Bajo,123,0,Red Ocean (Padat/Jenuh),1,-0.2002304791933951,-1.6820267153658848,False,-0.2881321948309035,-3.356451793382247,True,0.1233921594619506,1.3613829732403548,False,0.1850889780575359,2.5091124836933383,True,0.0173148366913244,0.234176510979246,False,0.2956916121620589,2.9865799225369387,True,0.089429392708171,OLS (Global),,0.0113658585693083,0.296,8.233479126895327,1.6237979050090368e-08,False,5.202312138427612,30.1016431229705,77.29013365203261,47.0,78.70633482041208,87.49999999088543,83.10316740564875,61.347101093259006,91.53147306943544,Cukup (OLS signifikan),Sangat Direkomendasikan,1,Akses Sulit & Kompetisi Rendah (Blue Ocean),Budget (Homestay/Hotel Standar),Nama Standar
Labuan Bajo,Loccal Collection Hotel,Hotel,"Labuan Bajo, Komodo, West Manggarai Regency, East Nusa Tenggara, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.484187323114618,119.87986564154248,61.0,4.2,1984.0,7996,4-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6XXKAwY_KH2TChWP2YybJNNeNbAlVfXoGmXZOl5tDFFTbkXbNI64fgJmWud1DoLG0XxZnq6avNmkJyhTDYqvdIElF15hFEsaMpc0IKSYyc1Y4NEepG1BxhD2kAA31ZAHvUGOU=w426-h240-k-no,http://loccalcollection.com/,https://www.google.com/maps/search/?api=1&query=Loccal%20Collection%20Hotel&query_place_id=ChIJ0xK7WapntC0R58zqhA68PrQ,https://www.google.com/maps/search/?api=1&query=Loccal%20Collection%20Hotel&query_place_id=ChIJ0xK7WapntC0R58zqhA68PrQ,0,1.2791712175806893,82,13818.0,0,0,7.59337419312129,0.8400000000000001,5.357884830666383,166.48192771084337,31.892171611109426,4.028211586901763,166.48192771084337,0.1150828205124941,Paradise BAR,132,0,Red Ocean (Padat/Jenuh),1,-0.2002304791933951,-1.6820267153658848,False,-0.2881321948309035,-3.356451793382247,True,0.1233921594619506,1.3613829732403548,False,0.1850889780575359,2.5091124836933383,True,0.0173148366913244,0.234176510979246,False,0.2956916121620589,2.9865799225369387,True,0.089429392708171,OLS (Global),,0.0113658585693083,0.296,8.233479126895327,1.6237979050090368e-08,False,47.39884392789602,77.7001919934443,73.28302891644262,42.00000000000001,94.6782837804959,96.87499998990886,95.77664188520238,68.84635813803702,97.98831927319922,Cukup (OLS signifikan),Sangat Direkomendasikan,0,Ekosistem Atraksi Kuat & Kompetisi Tinggi (Red Ocean),Budget (Homestay/Hotel Standar),Nama Standar
Labuan Bajo,Meruorah Komodo Labuan Bajo,Hotel,"Kawasan Marina, Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86711, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.490267869701436,119.87556639998982,94.0,4.5,1718.0,6125,5-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbFqWz8LXUNKMkTO2L70fkA5NpWYDHZFA3Nsgr2brbLMCoKec06zxb2x2vTpMAss1CJSMBB88AL6yaPOijuElGDtC8nnm1yQ3DFdgU1P-d5T4xsjr7qWiJmgbfCzFLlEbtIiY=w408-h272-k-no,https://meruorahlabuanbajo.com/,https://www.google.com/maps/search/?api=1&query=Meruorah%20Komodo%20Labuan%20Bajo&query_place_id=ChIJYU1_HrdntC0ReuPDG-2y2D0,https://www.google.com/maps/search/?api=1&query=Meruorah%20Komodo%20Labuan%20Bajo&query_place_id=ChIJYU1_HrdntC0ReuPDG-2y2D0,0,0.4784132311437969,104,16426.0,0,0,7.449498005382849,0.9,6.034093384360108,156.43809523809523,33.52274102422282,3.5631180919139034,156.43809523809523,0.0,Meruorah Komodo Labuan Bajo,134,0,Red Ocean (Padat/Jenuh),1,-0.2002304791933951,-1.6820267153658848,False,-0.2881321948309035,-3.356451793382247,True,0.1233921594619506,1.3613829732403548,False,0.1850889780575359,2.5091124836933383,True,0.0173148366913244,0.234176510979246,False,0.2956916121620589,2.9865799225369387,True,0.089429392708171,OLS (Global),,0.0113658585693083,0.296,8.233479126895327,1.6237979050090368e-08,False,60.11560693294129,91.65981609367344,82.53194197822631,45.0,100.0,98.9583333230252,99.4791666615126,75.17692931518486,99.38351719662558,Cukup (OLS signifikan),Sangat Direkomendasikan,0,Ekosistem Atraksi Kuat & Kompetisi Tinggi (Red Ocean),Budget (Homestay/Hotel Standar),Nama Standar
Labuan Bajo,Sunset Hill Hotel,Hotel,"Jl. Dusun Bandara, RT./RW/RW.019/005, Lingkungan V, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim., Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.481169241533747,119.8836347341151,32.0,4.0,522.0,1257,2-star hotel,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/da/fd/34/restaurant.jpg?w=2100&h=1400&s=1,http://www.hotelsunsethill.com/,https://www.google.com/maps/search/?api=1&query=Sunset%20Hill%20Hotel&query_place_id=ChIJRZvYM9hltC0RWT9nwVFFxcM,https://www.google.com/maps/search/?api=1&query=Sunset%20Hill%20Hotel&query_place_id=ChIJRZvYM9hltC0RWT9nwVFFxcM,0,1.778673259512372,42,7218.0,1,0,6.259581464064923,0.8,4.006132137001552,167.86046511627907,25.038325856259693,2.4034416826003824,167.86046511627907,0.2914975626640157,Paradise Garage,131,0,Red Ocean (Padat/Jenuh),1,-0.2002304791933951,-1.6820267153658848,False,-0.2881321948309035,-3.356451793382247,True,0.1233921594619506,1.3613829732403548,False,0.1850889780575359,2.5091124836933383,True,0.0173148366913244,0.234176510979246,False,0.2956916121620589,2.9865799225369387,True,0.089429392708171,OLS (Global),,0.0113658585693083,0.296,8.233479126895327,1.6237979050090368e-08,False,24.27745664599552,68.99236658206115,54.79429038090407,60.0,86.52042676511749,95.8333333233507,91.1768800442341,60.64150781744453,90.88254380272552,Cukup (OLS signifikan),Sangat Direkomendasikan,0,Ekosistem Atraksi Kuat & Kompetisi Tinggi (Red Ocean),Budget (Homestay/Hotel Standar),Mengandung Unsur Alam
Labuan Bajo,"TA’AKTANA, a Luxury Collection Resort & Spa, Labuan Bajo",Hotel,"Pantai Wae Rana, Labuan Bajo, Komodo, West Manggarai Regency, East Nusa Tenggara 86763, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.47445574136957,119.8819830897079,476.0,4.7,272.0,1241,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGcPgWGL1gElKOloeFwXP9uuuMQOzcDSvTSFTgt8v0TLTXh2DHU7FdtfdoIeI0XoaedJAfLAFLvTeNOI_UsLFh_ULS20VGE_ndL5PhN60n-TeDTCFsW1DpjrhQII8I0Hxl7yDDnEw5nfLg=w408-h272-k-no,https://www.marriott.com/en-us/hotels/lbjlc-taaktana-a-luxury-collection-resort-and-spa-labuan-bajo/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,https://www.google.com/maps/search/?api=1&query=TA%E2%80%99AKTANA%2C%20a%20Luxury%20Collection%20Resort%20%26%20Spa%2C%20Labuan%20Bajo&query_place_id=ChIJfXWpPXZmtC0RvcgtAu7PcM8,https://www.google.com/maps/search/?api=1&query=TA%E2%80%99AKTANA%2C%20a%20Luxury%20Collection%20Resort%20%26%20Spa%2C%20Labuan%20Bajo&query_place_id=ChIJfXWpPXZmtC0RvcgtAu7PcM8,0,2.36816830998586,11,1554.0,0,0,5.60947179518496,0.94,4.956529278225432,129.5,26.36451743736931,4.545787545787546,129.5,0.2769900760286031,Nera Lounge,128,0,Red Ocean (Padat/Jenuh),1,-0.2002304791933951,-1.6820267153658848,False,-0.2881321948309035,-3.356451793382247,True,0.1233921594619506,1.3613829732403548,False,0.1850889780575359,2.5091124836933383,True,0.0173148366913244,0.234176510979246,False,0.2956916121620589,2.9865799225369387,True,0.089429392708171,OLS (Global),,0.0113658585693083,0.296,8.233479126895327,1.6237979050090368e-08,False,6.3583815025226365,58.71569191513415,67.79344646275504,47.0,87.191289076174,92.7083333236762,89.94981119992511,65.20962217785411,95.52238805970148,Cukup (OLS signifikan),Sangat Direkomendasikan,0,Ekosistem Atraksi Kuat & Kompetisi Tinggi (Red Ocean),Budget (Homestay/Hotel Standar),Nama Standar
Labuan Bajo,Sylvia Resort Komodo,Hotel,"Jl. Pantai Waicicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.462119807871845,119.87242068898136,31.0,4.2,1938.0,6247,3-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMktZEIjSdtkDsBi19gCRiQJ8EeZLowNMJbf9x0YaL06RMwr6CVvnxqeesGW_eVEgOr30WLuKS-I_U7Jr_cnkzfvmxHBzsQ0PCVqgU2K9DdNIg9lcpf8FVn8s7WMJyhLf5Yn5W=w408-h271-k-no,,https://www.google.com/maps/search/?api=1&query=Sylvia%20Resort%20Komodo&query_place_id=ChIJC5U2mQ9mtC0RPO1axidLJ9k,https://www.google.com/maps/search/?api=1&query=Sylvia%20Resort%20Komodo&query_place_id=ChIJC5U2mQ9mtC0RPO1axidLJ9k,0,3.607328766576178,26,6087.0,0,1,7.569927655242652,0.8400000000000001,5.341340953539216,225.44444444444449,31.79369615201914,3.221763795771016,225.44444444444449,0.2063984126301137,Pantai Waecicu,109,0,Red Ocean (Padat/Jenuh),1,-0.2002304791933951,-1.6820267153658848,False,-0.2881321948309035,-3.356451793382247,True,0.1233921594619506,1.3613829732403548,False,0.1850889780575359,2.5091124836933383,True,0.0173148366913244,0.234176510979246,False,0.2956916121620589,2.9865799225369387,True,0.089429392708171,OLS (Global),,0.0113658585693083,0.296,8.233479126895327,1.6237979050090368e-08,False,15.028901733235324,37.11339201071426,73.05674831052869,72.0,90.45562339120524,72.91666665907118,81.68614502513822,59.64833106057226,89.51979234263464,Cukup (OLS signifikan),Sangat Direkomendasikan,1,Akses Sulit & Kompetisi Rendah (Blue Ocean),Premium (Resort/Villa),Nama Standar
Labuan Bajo,Mohini Resort,Hotel,"Jl. Pantai Wae cicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.45761732565271,119.87419603587936,53.0,4.4,443.0,1358,3-star hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEozIF2gKYNeuFq_zcOJPIuqRQl7vyD4Adts-tg4B3jXeP51n_BZZHBl81JbO1WsioCs2LU7PaqW1z0d6fwUDg4o5cZEaaa8ehz0F6Qts-h8vXO2KqnuUkTQCL9tzbB0PywztBbPx5x6aJM=w408-h544-k-no,https://wa.me/6282339283208,https://www.google.com/maps/search/?api=1&query=Mohini%20Resort&query_place_id=ChIJg0-4qhBntC0RSZBCOlGrrbI,https://www.google.com/maps/search/?api=1&query=Mohini%20Resort&query_place_id=ChIJg0-4qhBntC0RSZBCOlGrrbI,0,4.100689653420411,24,3661.0,0,0,6.095824562432225,0.8800000000000001,4.720606541147516,146.44,26.821628074701792,3.058558558558558,146.44,0.4289579303379683,Atlantis On The Rock,102,0,Red Ocean (Padat/Jenuh),1,-0.2002304791933951,-1.6820267153658848,False,-0.2881321948309035,-3.356451793382247,True,0.1233921594619506,1.3613829732403548,False,0.1850889780575359,2.5091124836933383,True,0.0173148366913244,0.234176510979246,False,0.2956916121620589,2.9865799225369387,True,0.089429392708171,OLS (Global),,0.0113658585693083,0.296,8.233479126895327,1.6237979050090368e-08,False,13.872832369140298,28.5126254336032,64.56658860564487,44.00000000000001,80.16391703645603,65.62499999316407,72.89445851481005,52.01021484650758,75.24334847501622,Cukup (OLS signifikan),Direkomendasikan,1,Akses Sulit & Kompetisi Rendah (Blue Ocean),Budget (Homestay/Hotel Standar),Nama Standar
Labuan Bajo,Katamaran Hotel & Resort Komodo,Hotel,"Pantai Waecicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86763, Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.47158069474386,119.87664802020775,150.0,4.7,449.0,1814,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIScuc4WO08KW_ZxTVkHsj8Rocwb3UJLTCb27ibuz4YFx-o3zVp2y0TbJev8as7FvNrnbl2BzhGIxCZRnIxyjiaKzS_djc6OaWOczBDHkYkO4aNwonPUnFNZvbGP9o9p-vnz5ODFNS75_W=w408-h408-k-no,https://katamaranresort.com/komodo,https://www.google.com/maps/search/?api=1&query=Katamaran%20Hotel%20%26%20Resort%20Komodo&query_place_id=ChIJpwGQTTZntC0Re3meo_sIbiA,https://www.google.com/maps/search/?api=1&query=Katamaran%20Hotel%20%26%20Resort%20Komodo&query_place_id=ChIJpwGQTTZntC0Re3meo_sIbiA,0,2.558188073175613,10,4734.0,0,0,6.1092475827643655,0.94,5.398131164130595,430.3636363636364,28.71346363899252,4.031111111111112,273.9333333333331,0.503264222554906,Honzen Komodo,128,0,Red Ocean (Padat/Jenuh),1,-0.2002304791933951,-1.6820267153658848,False,-0.2881321948309035,-3.356451793382247,True,0.1233921594619506,1.3613829732403548,False,0.1850889780575359,2.5091124836933383,True,0.0173148366913244,0.234176510979246,False,0.2956916121620589,2.9865799225369387,True,0.089429392708171,OLS (Global),,0.0113658585693083,0.296,8.233479126895327,1.6237979050090368e-08,False,5.780346820475124,55.40307498133781,73.83350234247776,47.0,76.72780903405302,92.7083333236762,84.71807117886462,65.45140260487054,95.78195976638546,Cukup (OLS signifikan),Sangat Direkomendasikan,1,Akses Sulit & Kompetisi Rendah (Blue Ocean),Budget (Homestay/Hotel Standar),Nama Standar
Labuan Bajo,Mama Komodo Bed & Breakfast,Hotel,"Jl. Jati Putih. Batu Cermin, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim., Indonesia",West Manggarai Regency,East Nusa Tenggara,-8.476633774399563,119.90333529712296,16.0,4.3,60.0,118,Hotel,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG23FTSOO3QtY3AuNhrsFODJpv0D_eUg1nQ-67SpLZfp889nyJpyYrt0JHvLPiJQcWwgR3L3t0qq7s1VYAIyHxjusbav25wEXJPI6tKXCf1Pnd9OL75sTFjXq-WQ2qzyaDxG25ePA=w408-h272-k-no,https://sentosagroup.id/en/mama-komodo,https://www.google.com/maps/search/?api=1&query=Mama%20Komodo%20Bed%20%26%20Breakfast&query_place_id=ChIJOWbDR5VltC0Rs_8uDrI3FTw,https://www.google.com/maps/search/?api=1&query=Mama%20Komodo%20Bed%20%26%20Breakfast&query_place_id=ChIJOWbDR5VltC0Rs_8uDrI3FTw,0,3.722470951928377,34,207.0,0,0,4.110873864173311,0.86,3.0404023099425808,5.914285714285715,17.676757615945238,1.9344262295081969,5.914285714285715,0.0,Mama Komodo Bed & Breakfast,126,0,Red Ocean (Padat/Jenuh),1,-0.2002304791933951,-1.6820267153658848,False,-0.2881321948309035,-3.356451793382247,True,0.1233921594619506,1.3613829732403548,False,0.1850889780575359,2.5091124836933383,True,0.0173148366913244,0.234176510979246,False,0.2956916121620589,2.9865799225369387,True,0.089429392708171,OLS (Global),,0.0113658585693083,0.296,8.233479126895327,1.6237979050090368e-08,False,19.65317918961542,35.10611683791487,41.58541988843557,43.0,100.0,90.6249999905599,95.31249999527996,50.28382340257964,71.67423750811162,Cukup (OLS signifikan),Direkomendasikan,1,Akses Sulit & Kompetisi Rendah (Blue Ocean),Budget (Homestay/Hotel Standar),Nama Standar
