destinasi;nama_hotel;jenis;alamat;kota;provinsi;latitude;longitude;harga;rating;jumlah_ulasan;jumlah_foto;kasta_bintang;foto_url;website;maps_url;google_maps_link;fasilitas_sarapan;jarak_ke_pusat_km;saingan_radius_1km;total_demand_area;is_nature_view;is_premium;log_ulasan;rating_norm;log_ulasan_x_rating;indeks_investasi;skor_popularitas;foto_per_ulasan;indeks_investasi_clipped;jarak_ke_atraksi_terdekat_km;nama_atraksi_terdekat;jumlah_atraksi_radius_5km;klaster_dbscan;status_ocean;koef_jarak_ke_pusat_km;koef_saingan_radius_1km;koef_foto_per_ulasan;koef_jarak_ke_atraksi_terdekat_km;koef_jumlah_atraksi_radius_5km;r2_lokal;model_dipakai;competition_score;accessibility_score;demand_score;quality_score;jarak_atraksi_score;kepadatan_atraksi_score;ecosystem_score;opportunity_score;rekomendasi_investasi;cluster_label;market_segment;Segmen;Tema_Nama
Labuan Bajo;AYANA Komodo Waecicu Beach;Hotel;Jalan Pantai Waecicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554, Indonesia;West Manggarai Regency;East Nusa Tenggara;-8.467664033;119.8744099;157;4.7;3921;14918;5-star hotel;https://lh3.googleusercontent.com/gps-cs-s/APNQkAHW_Kfw8H8dcc71ka0jvGylrrYaua6QXdDo_-lgR6iAEmqbtuUopO_vkd0CMbq1xTCc0s4ik3MSDrCED_p4v1m9uLxxhPuT2VujGqc0UIDzupvdPUF-qToK6XdBdNaRdcGrmgP0MA=w408-h272-k-no;https://www.ayana.com/labuan-bajo/komodo/;https://www.google.com/maps/search/?api=1&query=AYANA%20Komodo%20Waecicu%20Beach&query_place_id=ChIJPdDEpmFntC0RLNLv01YS_z4;https://www.google.com/maps/search/?api=1&query=AYANA%20Komodo%20Waecicu%20Beach&query_place_id=ChIJPdDEpmFntC0RLNLv01YS_z4;0;2.983619284;10;3051;1;1;8.274357007;0.94;7.311221851;277.3636364;38.88947793;3.803671596;273.9333333;0.050617369;Honzen Komodo;117;0;Red Ocean (Padat/Jenuh);-0.171373783;-0.758793073;-0.48320014;-0.905277755;0.525210181;0.265277295;GWR (Lokal);5.78034682;47.9865273;99.99999986;97;97.6593268;81.24999999;89.4546634;75.85566974;Sangat Direkomendasikan;2;Tourism Hub / Market Leader;Premium (Resort/Villa);Mengandung Unsur Alam
Labuan Bajo;Theodor Hotel Labuan Bajo;Hotel;Labuan Bajo, Jl Verhouven, Bukit Kelumpang, Batu Cermin, Kec. Komodo, Bajoo, Nusa Tenggara Tim., Indonesia;Bajoo;East Nusa Tenggara;-8.466875283;119.8981188;45;4.7;598;337;3-star hotel;https://lh3.googleusercontent.com/gps-cs-s/APNQkAEfzO7imSXAwPUUWqUd-f5Raw1SfuTJQOa5oZHJwivPB3Hom-cSWkWfV3-8CqMnvDeUJzBgaD-wEFjsCb7navUMm9Z1Z7NVaP6crCIUHdaRfUOtaGMu8DyfdM_BqQK12VcdpvQf=w408-h326-k-no;;https://www.google.com/maps/search/?api=1&query=Theodor%20Hotel%20Labuan%20Bajo&query_place_id=ChIJdfQkl09ltC0RUAuaTZqVH3E;https://www.google.com/maps/search/?api=1&query=Theodor%20Hotel%20Labuan%20Bajo&query_place_id=ChIJdfQkl09ltC0RUAuaTZqVH3E;0;4.009539734;9;83;0;0;6.395261598;0.94;5.650853148;8.3;30.05772951;0.562604341;8.3;0.460478339;Mawatu at Labuan Bajo;123;0;Red Ocean (Padat/Jenuh);-0.654744316;-0.554168831;-0.506119549;-0.181002625;-0.119642147;0.243004265;GWR (Lokal);5.202312138;30.10164312;77.29013365;47;78.70633482;87.49999999;83.10316741;61.34710109;Sangat Direkomendasikan;2;Tourism Hub / Market Leader;Budget (Homestay/Hotel Standar);Nama Standar
Labuan Bajo;Loccal Collection Hotel;Hotel;Labuan Bajo, Komodo, West Manggarai Regency, East Nusa Tenggara, Indonesia;West Manggarai Regency;East Nusa Tenggara;-8.484187323;119.8798656;61;4.2;1984;7996;4-star hotel;https://lh3.googleusercontent.com/gps-cs-s/APNQkAG6XXKAwY_KH2TChWP2YybJNNeNbAlVfXoGmXZOl5tDFFTbkXbNI64fgJmWud1DoLG0XxZnq6avNmkJyhTDYqvdIElF15hFEsaMpc0IKSYyc1Y4NEepG1BxhD2kAA31ZAHvUGOU=w426-h240-k-no;http://loccalcollection.com/;https://www.google.com/maps/search/?api=1&query=Loccal%20Collection%20Hotel&query_place_id=ChIJ0xK7WapntC0R58zqhA68PrQ;https://www.google.com/maps/search/?api=1&query=Loccal%20Collection%20Hotel&query_place_id=ChIJ0xK7WapntC0R58zqhA68PrQ;0;1.279171218;82;13818;0;0;7.593374193;0.84;5.357884831;166.4819277;31.89217161;4.028211587;166.4819277;0.115082821;Paradise BAR;132;0;Red Ocean (Padat/Jenuh);-0.346315075;-0.593343835;-0.75696353;-0.620242195;-0.069546604;0.237598287;GWR (Lokal);47.39884393;77.70019199;73.28302892;42;94.67828378;96.87499999;95.77664189;68.84635814;Sangat Direkomendasikan;0;Strategic Hotspot (High Density);Budget (Homestay/Hotel Standar);Nama Standar
Labuan Bajo;Meruorah Komodo Labuan Bajo;Hotel;Kawasan Marina, Jl. Soekarno Hatta, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86711, Indonesia;West Manggarai Regency;East Nusa Tenggara;-8.49026787;119.8755664;94;4.5;1718;6125;5-star hotel;https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbFqWz8LXUNKMkTO2L70fkA5NpWYDHZFA3Nsgr2brbLMCoKec06zxb2x2vTpMAss1CJSMBB88AL6yaPOijuElGDtC8nnm1yQ3DFdgU1P-d5T4xsjr7qWiJmgbfCzFLlEbtIiY=w408-h272-k-no;https://meruorahlabuanbajo.com/;https://www.google.com/maps/search/?api=1&query=Meruorah%20Komodo%20Labuan%20Bajo&query_place_id=ChIJYU1_HrdntC0ReuPDG-2y2D0;https://www.google.com/maps/search/?api=1&query=Meruorah%20Komodo%20Labuan%20Bajo&query_place_id=ChIJYU1_HrdntC0ReuPDG-2y2D0;0;0.478413231;104;16426;0;0;7.449498005;0.9;6.034093384;156.4380952;33.52274102;3.563118092;156.4380952;0;Meruorah Komodo Labuan Bajo;134;0;Red Ocean (Padat/Jenuh);-0.13327635;-0.484400266;-0.719492186;-0.686713238;-0.31346032;0.225955438;GWR (Lokal);60.11560693;91.65981609;82.53194198;45;100;98.95833332;99.47916666;75.17692932;Sangat Direkomendasikan;0;Strategic Hotspot (High Density);Budget (Homestay/Hotel Standar);Nama Standar
Labuan Bajo;Sunset Hill Hotel;Hotel;Jl. Dusun Bandara, RT./RW/RW.019/005, Lingkungan V, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim., Indonesia;West Manggarai Regency;East Nusa Tenggara;-8.481169242;119.8836347;32;4;522;1257;2-star hotel;https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/da/fd/34/restaurant.jpg?w=2100&h=1400&s=1;http://www.hotelsunsethill.com/;https://www.google.com/maps/search/?api=1&query=Sunset%20Hill%20Hotel&query_place_id=ChIJRZvYM9hltC0RWT9nwVFFxcM;https://www.google.com/maps/search/?api=1&query=Sunset%20Hill%20Hotel&query_place_id=ChIJRZvYM9hltC0RWT9nwVFFxcM;0;1.77867326;42;7218;1;0;6.259581464;0.8;4.006132137;167.8604651;25.03832586;2.403441683;167.8604651;0.291497563;Paradise Garage;131;0;Red Ocean (Padat/Jenuh);-0.640611685;-0.610434737;-0.717366079;-0.501482777;-0.18573095;0.258720639;GWR (Lokal);24.27745665;68.99236658;54.79429038;60;86.52042677;95.83333332;91.17688004;60.64150782;Sangat Direkomendasikan;2;Tourism Hub / Market Leader;Budget (Homestay/Hotel Standar);Mengandung Unsur Alam
Labuan Bajo;TA’AKTANA, a Luxury Collection Resort & Spa, Labuan Bajo;Hotel;Pantai Wae Rana, Labuan Bajo, Komodo, West Manggarai Regency, East Nusa Tenggara 86763, Indonesia;West Manggarai Regency;East Nusa Tenggara;-8.474455741;119.8819831;476;4.7;272;1241;Hotel;https://lh3.googleusercontent.com/gps-cs-s/APNQkAGcPgWGL1gElKOloeFwXP9uuuMQOzcDSvTSFTgt8v0TLTXh2DHU7FdtfdoIeI0XoaedJAfLAFLvTeNOI_UsLFh_ULS20VGE_ndL5PhN60n-TeDTCFsW1DpjrhQII8I0Hxl7yDDnEw5nfLg=w408-h272-k-no;https://www.marriott.com/en-us/hotels/lbjlc-taaktana-a-luxury-collection-resort-and-spa-labuan-bajo/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0;https://www.google.com/maps/search/?api=1&query=TA%E2%80%99AKTANA%2C%20a%20Luxury%20Collection%20Resort%20%26%20Spa%2C%20Labuan%20Bajo&query_place_id=ChIJfXWpPXZmtC0RvcgtAu7PcM8;https://www.google.com/maps/search/?api=1&query=TA%E2%80%99AKTANA%2C%20a%20Luxury%20Collection%20Resort%20%26%20Spa%2C%20Labuan%20Bajo&query_place_id=ChIJfXWpPXZmtC0RvcgtAu7PcM8;0;2.36816831;11;1554;0;0;5.609471795;0.94;4.956529278;129.5;26.36451744;4.545787546;129.5;0.276990076;Nera Lounge;128;0;Red Ocean (Padat/Jenuh);-0.709156455;-0.563743442;-0.603796038;-0.568698286;-0.537581965;0.232900105;GWR (Lokal);6.358381503;58.71569192;67.79344646;47;87.19128908;92.70833332;89.9498112;65.20962218;Sangat Direkomendasikan;2;Tourism Hub / Market Leader;Budget (Homestay/Hotel Standar);Nama Standar
Labuan Bajo;Sylvia Resort Komodo;Hotel;Jl. Pantai Waicicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554, Indonesia;West Manggarai Regency;East Nusa Tenggara;-8.462119808;119.8724207;31;4.2;1938;6247;3-star hotel;https://lh3.googleusercontent.com/gps-cs-s/APNQkAGMktZEIjSdtkDsBi19gCRiQJ8EeZLowNMJbf9x0YaL06RMwr6CVvnxqeesGW_eVEgOr30WLuKS-I_U7Jr_cnkzfvmxHBzsQ0PCVqgU2K9DdNIg9lcpf8FVn8s7WMJyhLf5Yn5W=w408-h271-k-no;;https://www.google.com/maps/search/?api=1&query=Sylvia%20Resort%20Komodo&query_place_id=ChIJC5U2mQ9mtC0RPO1axidLJ9k;https://www.google.com/maps/search/?api=1&query=Sylvia%20Resort%20Komodo&query_place_id=ChIJC5U2mQ9mtC0RPO1axidLJ9k;0;3.607328767;26;6087;0;1;7.569927655;0.84;5.341340954;225.4444444;31.79369615;3.221763796;225.4444444;0.206398413;Pantai Waecicu;109;0;Red Ocean (Padat/Jenuh);-0.43278467;-0.876625898;-0.407691131;-0.859394944;0.403393328;0.289827063;GWR (Lokal);15.02890173;37.11339201;73.05674831;72;90.45562339;72.91666666;81.68614503;59.64833106;Sangat Direkomendasikan;2;Tourism Hub / Market Leader;Premium (Resort/Villa);Nama Standar
Labuan Bajo;Mohini Resort;Hotel;Jl. Pantai Wae cicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86554, Indonesia;West Manggarai Regency;East Nusa Tenggara;-8.457617326;119.874196;53;4.4;443;1358;3-star hotel;https://lh3.googleusercontent.com/gps-cs-s/APNQkAEozIF2gKYNeuFq_zcOJPIuqRQl7vyD4Adts-tg4B3jXeP51n_BZZHBl81JbO1WsioCs2LU7PaqW1z0d6fwUDg4o5cZEaaa8ehz0F6Qts-h8vXO2KqnuUkTQCL9tzbB0PywztBbPx5x6aJM=w408-h544-k-no;https://wa.me/6282339283208;https://www.google.com/maps/search/?api=1&query=Mohini%20Resort&query_place_id=ChIJg0-4qhBntC0RSZBCOlGrrbI;https://www.google.com/maps/search/?api=1&query=Mohini%20Resort&query_place_id=ChIJg0-4qhBntC0RSZBCOlGrrbI;0;4.100689653;24;3661;0;0;6.095824562;0.88;4.720606541;146.44;26.82162807;3.058558559;146.44;0.42895793;Atlantis On The Rock;102;0;Red Ocean (Padat/Jenuh);-0.602988251;-0.949721684;-0.40071053;-0.868486898;0.317059228;0.298830123;GWR (Lokal);13.87283237;28.51262543;64.56658861;44;80.16391704;65.62499999;72.89445851;52.01021485;Direkomendasikan;2;Tourism Hub / Market Leader;Budget (Homestay/Hotel Standar);Nama Standar
Labuan Bajo;Katamaran Hotel & Resort Komodo;Hotel;Pantai Waecicu, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim. 86763, Indonesia;West Manggarai Regency;East Nusa Tenggara;-8.471580695;119.876648;150;4.7;449;1814;Hotel;https://lh3.googleusercontent.com/gps-cs-s/APNQkAFIScuc4WO08KW_ZxTVkHsj8Rocwb3UJLTCb27ibuz4YFx-o3zVp2y0TbJev8as7FvNrnbl2BzhGIxCZRnIxyjiaKzS_djc6OaWOczBDHkYkO4aNwonPUnFNZvbGP9o9p-vnz5ODFNS75_W=w408-h408-k-no;https://katamaranresort.com/komodo;https://www.google.com/maps/search/?api=1&query=Katamaran%20Hotel%20%26%20Resort%20Komodo&query_place_id=ChIJpwGQTTZntC0Re3meo_sIbiA;https://www.google.com/maps/search/?api=1&query=Katamaran%20Hotel%20%26%20Resort%20Komodo&query_place_id=ChIJpwGQTTZntC0Re3meo_sIbiA;0;2.558188073;10;4734;0;0;6.109247583;0.94;5.398131164;430.3636364;28.71346364;4.031111111;273.9333333;0.503264223;Honzen Komodo;128;0;Red Ocean (Padat/Jenuh);-0.026954205;-0.671677042;-0.584781256;-0.927988254;0.544626968;0.233182824;GWR (Lokal);5.78034682;55.40307498;73.83350234;47;76.72780903;92.70833332;84.71807118;65.4514026;Sangat Direkomendasikan;2;Tourism Hub / Market Leader;Budget (Homestay/Hotel Standar);Nama Standar
Labuan Bajo;Mama Komodo Bed & Breakfast;Hotel;Jl. Jati Putih. Batu Cermin, Labuan Bajo, Kec. Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Tim., Indonesia;West Manggarai Regency;East Nusa Tenggara;-8.476633774;119.9033353;16;4.3;60;118;Hotel;https://lh3.googleusercontent.com/gps-cs-s/APNQkAG23FTSOO3QtY3AuNhrsFODJpv0D_eUg1nQ-67SpLZfp889nyJpyYrt0JHvLPiJQcWwgR3L3t0qq7s1VYAIyHxjusbav25wEXJPI6tKXCf1Pnd9OL75sTFjXq-WQ2qzyaDxG25ePA=w408-h272-k-no;https://sentosagroup.id/en/mama-komodo;https://www.google.com/maps/search/?api=1&query=Mama%20Komodo%20Bed%20%26%20Breakfast&query_place_id=ChIJOWbDR5VltC0Rs_8uDrI3FTw;https://www.google.com/maps/search/?api=1&query=Mama%20Komodo%20Bed%20%26%20Breakfast&query_place_id=ChIJOWbDR5VltC0Rs_8uDrI3FTw;0;3.722470952;34;207;0;0;4.110873864;0.86;3.04040231;5.914285714;17.67675762;1.93442623;5.914285714;0;Mama Komodo Bed & Breakfast;126;0;Red Ocean (Padat/Jenuh);-0.171042908;-0.236412365;-0.528125922;-0.012166267;0.164237542;0.216361875;GWR (Lokal);19.65317919;35.10611684;41.58541989;43;100;90.62499999;95.3125;50.2838234;Direkomendasikan;2;Tourism Hub / Market Leader;Budget (Homestay/Hotel Standar);Nama Standar
