destinasi,nama_hotel,market_segment,opportunity_score,demand_score,quality_score,jarak_ke_atraksi_terdekat_km,jumlah_atraksi_radius_5km,latitude,longitude
Borobudur,Plataran Borobudur Resort & Spa,Tourism Hub / Market Leader,77.78336763356602,87.3443105479405,47.0,0.1237914916774861,113,-7.606272591883155,110.19210600191909
Borobudur,Plataran Heritage Borobudur Hotel,Tourism Hub / Market Leader,75.53770840570085,81.4222630713134,48.0,0.1570193466082915,113,-7.608667627008397,110.19050084181242
Borobudur,Balkondes Ngadiharjo,Tourism Hub / Market Leader,73.50754598020484,80.39812165469428,44.00000000000001,1.056994182000802,91,-7.616064958700665,110.17073030188152
Bromo Tengger Semeru,Hotel Lava View Lodge,Tourism Hub / Market Leader,67.95524746501124,88.29330982841964,63.0,0.4014367775883045,16,-7.926252408128153,112.96728064131894
Bromo Tengger Semeru,Bawangan Bromo Hotel & Resto,Tourism Hub / Market Leader,67.58739762430255,95.0665831198867,45.0,3.5468884136326464,4,-7.923019803833423,113.00145899317604
Bromo Tengger Semeru,Jiwa Jawa Bromo,Tourism Hub / Market Leader,66.30688915797025,86.5932823542384,45.0,2.193050814173231,14,-7.916582328808849,112.985374140338
Danau Toba,Samosir Cottages Resort,Tourism Hub / Market Leader,68.37951398568602,99.99999987949685,43.0,0.1200697780656385,7,2.677312655540749,98.85391197176408
Danau Toba,Samosir Villa Resort,Tourism Hub / Market Leader,64.23262789088282,91.051022209293,43.0,1.1635570838621745,7,2.667958811224284,98.86024128058814
Danau Toba,Siantar Hotel Parapat,Tourism Hub / Market Leader,63.73755533847236,74.3709246214723,40.0,1.1124321630447431,2,2.670376534787408,98.93517604438514
Labuan Bajo,AYANA Komodo Waecicu Beach,Tourism Hub / Market Leader,85.89553417265012,99.99999987914467,97.0,0.0506173689967033,132,-8.46766403285847,119.87440992930296
Labuan Bajo,Laprima Hotel,Strategic Hotspot (High Density),83.96114508115447,94.13969629679201,43.0,0.2200962882143264,148,-8.504552386043944,119.8787199301178
Labuan Bajo,Bintang Flores Hotel,Tourism Hub / Market Leader,83.95570235409639,91.55496476906393,74.0,0.0221050972439938,142,-8.510848592175233,119.87691373471898
Likupang,Paradise Hotel Golf & Resort,Tourism Hub / Market Leader,68.24458508753108,99.9999998383501,42.00000000000001,12.239222572332588,0,1.6734664310813048,125.120860214799
Likupang,Coral Eye,Tourism Hub / Market Leader,58.272851318584536,83.85403908645793,79.0,14.20918547946319,0,1.751501124447552,125.1338020252374
Likupang,SunMoon Private Resort & Villas,Tourism Hub / Market Leader,56.58863769994218,79.17353082970227,76.0,16.96993192113651,0,1.6330425569211209,125.1501848177475
Mandalika,Novotel Lombok Resort and Villas,Tourism Hub / Market Leader,74.76712304526656,96.57599102692653,45.0,0.4198488316369368,25,-8.903029390517712,116.29810513279917
Mandalika,Pullman Lombok Merujani Mandalika Beach Resort,Tourism Hub / Market Leader,70.70223989378553,88.93399139892861,68.0,0.1675834050598544,24,-8.900565249021364,116.29579593303788
Mandalika,Origin Lombok,Tourism Hub / Market Leader,68.27293500110385,84.98312050998203,75.0,1.0185944746067366,28,-8.887640440643931,116.3074560154238
Morotai,Daloha Beach & Dive Resort Morotai,Tourism Hub / Market Leader,72.09362860192358,99.99999982384298,63.0,0.8816082772943086,4,2.007195455077388,128.27890902648105
Morotai,Hotel Pacific Morotai,Tourism Hub / Market Leader,69.9509898689983,89.06931624233965,39.0,0.8207895000387523,8,2.04577964460474,128.29268634179547
Morotai,Penginapan Dodola,Tourism Hub / Market Leader,69.24322786304545,89.51250191619755,40.0,0.8895089014825219,7,2.0516238520944965,128.3005906444411
Raja Ampat,Meridian Adventure Marina Club & Resort Waisai,Tourism Hub / Market Leader,73.70269669505018,99.99999983631372,45.0,2.8230401580216125,4,-0.4341907885440037,130.80817192873354
Raja Ampat,Vogelkopf Resort,Tourism Hub / Market Leader,71.10667485249097,93.84692942692594,48.0,0.2440632930267963,4,-0.4385395035136641,130.78525338950325
Raja Ampat,Waiwo Dive Resort & Dive into Raja Ampat,Tourism Hub / Market Leader,70.9500262631329,94.47057162923895,44.00000000000001,0.5595351025957864,4,-0.4364897863727783,130.77836144509595
Tanjung Kelayang,Swiss-Belresort Belitung,Tourism Hub / Market Leader,70.77810158427552,94.347267976027,48.0,0.2669952087185802,9,-2.5907821221919343,107.64414147974033
Tanjung Kelayang,Hotel Santika Premiere Beach Resort Belitung,Tourism Hub / Market Leader,69.7703945117459,98.29407653801275,66.0,1.1370097299936068,6,-2.557410090195748,107.74518788221476
Tanjung Kelayang,Sheraton Belitung Resort,Tourism Hub / Market Leader,66.57111104994539,81.12426703556393,46.0,1.711447146229916,9,-2.568491679300097,107.6574427745969
Wakatobi,Hotel Wisata Beach Wakatobi,Tourism Hub / Market Leader,74.87802526223615,99.9999998347678,61.0,0.1929265641936029,10,-5.330504200426254,123.53799260495724
Wakatobi,Ar'Rafif Hotel,Tourism Hub / Market Leader,68.67579999530716,85.33889407824961,42.00000000000001,0.3578561671912353,10,-5.326041184568478,123.5383108824171
Wakatobi,Villa Nadila,Tourism Hub / Market Leader,65.57064896250853,79.37789584235823,44.00000000000001,0.6800587279796949,12,-5.312057726256916,123.53555808568628
